num_expediente;fecha;hora;localizacion;numero;cod_distrito;distrito;tipo_accidente;estado_meteorológico;tipo_vehiculo;tipo_persona;rango_edad;sexo;cod_lesividad;lesividad;coordenada_x_utm;coordenada_y_utm;positiva_alcohol;positiva_droga
2022S000006;01/01/2022;5:15:00;CALL. JOSE ABASCAL, 30;30;7;CHAMBERÍ;Choque contra obstáculo fijo;Despejado;Turismo;Conductor;Desconocido;Desconocido;NULL;NULL;440.859.151;4.476.634.830;N;NULL
2022S000008;01/01/2022;0:25:00;PLAZA. ENCUENTRO, 2;2;14;MORATALAZ;Choque contra obstáculo fijo;NULL;Turismo;Conductor;De 21 a 24 años;Mujer;NULL;NULL;444.759.786;4.472.970.631;N;NULL
2022S000009;01/01/2022;5:20:00;CALL. AMPOSTA / CALL. ARGENTA;2;20;SAN BLAS-CANILLEJAS;Choque contra obstáculo fijo;Despejado;Furgoneta;Conductor;Desconocido;Desconocido;NULL;NULL;447.682.168;4.474.712.884;N;NULL
2022S000009;01/01/2022;5:20:00;CALL. AMPOSTA / CALL. ARGENTA;2;20;SAN BLAS-CANILLEJAS;Choque contra obstáculo fijo;Despejado;Turismo;Conductor;De 15 a 17 años;Mujer;14;Sin asistencia sanitaria;447.682.168;4.474.712.884;S;NULL
2022S000010;01/01/2022;17:20:00;CALL. MANUEL GARCIA, 45;45;10;LATINA;Colisión lateral;Despejado;Turismo;Conductor;De 35 a 39 años;Hombre;NULL;NULL;434.202.668;4.471.944.118;S;NULL
2022S000010;01/01/2022;17:20:00;CALL. MANUEL GARCIA, 45;45;10;LATINA;Colisión lateral;Despejado;Turismo;Conductor;Desconocido;Desconocido;NULL;NULL;434.202.668;4.471.944.118;N;NULL
2022S000011;01/01/2022;5:15:00;AVDA. CANILLEJAS A VICALVARO / PLAZA. VICALVARADA;193;20;SAN BLAS-CANILLEJAS;Choque contra obstáculo fijo;Despejado;Turismo;Conductor;Desconocido;Desconocido;NULL;NULL;448.230.497;4.473.666.071;N;NULL
2022S000011;01/01/2022;5:15:00;AVDA. CANILLEJAS A VICALVARO / PLAZA. VICALVARADA;193;20;SAN BLAS-CANILLEJAS;Choque contra obstáculo fijo;Despejado;Turismo;Pasajero;De 18 a 20 años;Hombre;3;Ingreso superior a 24 horas;448.230.497;4.473.666.071;N;NULL
2022S000011;01/01/2022;5:15:00;AVDA. CANILLEJAS A VICALVARO / PLAZA. VICALVARADA;193;20;SAN BLAS-CANILLEJAS;Choque contra obstáculo fijo;Despejado;Turismo;Pasajero;De 21 a 24 años;Hombre;7;Asistencia sanitaria sólo en el lugar del accidente;448.230.497;4.473.666.071;N;NULL
2022S000012;01/01/2022;7:00:00;CALL. SILVANO, 71;71;16;HORTALEZA;Choque contra obstáculo fijo;Despejado;Turismo;Conductor;De 21 a 24 años;Hombre;2;Ingreso inferior o igual a 24 horas;445.501.939;4.478.914.358;S;NULL
2022S000012;01/01/2022;7:00:00;CALL. SILVANO, 71;71;16;HORTALEZA;Choque contra obstáculo fijo;Despejado;Turismo;Conductor;Desconocido;Desconocido;NULL;NULL;445.501.939;4.478.914.358;N;NULL
2022S000012;01/01/2022;7:00:00;CALL. SILVANO, 71;71;16;HORTALEZA;Choque contra obstáculo fijo;Despejado;Turismo;Pasajero;De 21 a 24 años;Hombre;14;Sin asistencia sanitaria;445.501.939;4.478.914.358;N;NULL
2022S000012;01/01/2022;7:00:00;CALL. SILVANO, 71;71;16;HORTALEZA;Choque contra obstáculo fijo;Despejado;Turismo;Pasajero;De 21 a 24 años;Mujer;2;Ingreso inferior o igual a 24 horas;445.501.939;4.478.914.358;N;NULL
2022S000012;01/01/2022;7:00:00;CALL. SILVANO, 71;71;16;HORTALEZA;Choque contra obstáculo fijo;Despejado;Turismo;Pasajero;De 21 a 24 años;Mujer;3;Ingreso superior a 24 horas;445.501.939;4.478.914.358;N;NULL
2022S000012;01/01/2022;7:00:00;CALL. SILVANO, 71;71;16;HORTALEZA;Choque contra obstáculo fijo;Despejado;Turismo;Pasajero;De 21 a 24 años;Mujer;14;Sin asistencia sanitaria;445.501.939;4.478.914.358;N;NULL
2022S000013;01/01/2022;8:10:00;AUTOV. M-30, +01100I;+01100I;2;ARGANZUELA;Choque contra obstáculo fijo;Despejado;Turismo;Conductor;De 40 a 44 años;Hombre;NULL;NULL;442.679.507;4.471.637.799;S;NULL
2022S000014;01/01/2022;7:45:00;CALL. DOCTOR CASTELO, 56;56;3;RETIRO;Colisión fronto-lateral;Despejado;Turismo;Conductor;De 30 a 34 años;Mujer;NULL;NULL;442.979.470;4.474.611.778;N;NULL
2022S000014;01/01/2022;7:45:00;CALL. DOCTOR CASTELO, 56;56;3;RETIRO;Colisión fronto-lateral;Despejado;Turismo;Conductor;De 30 a 34 años;Mujer;NULL;NULL;442.979.470;4.474.611.778;N;NULL
2022S000014;01/01/2022;7:45:00;CALL. DOCTOR CASTELO, 56;56;3;RETIRO;Colisión fronto-lateral;Despejado;Turismo;Conductor;De 45 a 49 años;Mujer;NULL;NULL;442.979.470;4.474.611.778;N;NULL
2022S000015;01/01/2022;7:25:00;AVDA. ENTREVIAS, 94;94;13;PUENTE DE VALLECAS;Alcance;Despejado;Turismo;Conductor;De 35 a 39 años;Hombre;7;Asistencia sanitaria sólo en el lugar del accidente;443.634.572;4.469.942.483;N;NULL
2022S000015;01/01/2022;7:25:00;AVDA. ENTREVIAS, 94;94;13;PUENTE DE VALLECAS;Alcance;Despejado;Turismo;Conductor;De 40 a 44 años;Hombre;14;Sin asistencia sanitaria;443.634.572;4.469.942.483;S;NULL
2022S000015;01/01/2022;7:25:00;AVDA. ENTREVIAS, 94;94;13;PUENTE DE VALLECAS;Alcance;Despejado;Turismo;Pasajero;De 35 a 39 años;Hombre;7;Asistencia sanitaria sólo en el lugar del accidente;443.634.572;4.469.942.483;N;NULL
2022S000016;01/01/2022;14:40:00;CALL. ALGORTA / CALL. GENERAL RICARDOS;1;11;CARABANCHEL;Choque contra obstáculo fijo;Despejado;Furgoneta;Conductor;De 50 a 54 años;Hombre;NULL;NULL;438.254.701;4.471.474.359;S;NULL
2022S000016;01/01/2022;14:40:00;CALL. ALGORTA / CALL. GENERAL RICARDOS;1;11;CARABANCHEL;Choque contra obstáculo fijo;Despejado;Turismo;Conductor;Desconocido;Desconocido;NULL;NULL;438.254.701;4.471.474.359;N;NULL
2022S000018;01/01/2022;9:00:00;AUTOV. M-30, +01100I PTO KM. 11,300 INTERIOR;+01100I;2;ARGANZUELA;Colisión fronto-lateral;Despejado;Turismo;Conductor;De 45 a 49 años;Hombre;14;Sin asistencia sanitaria;442.366.272;4.471.296.603;N;NULL
2022S000018;01/01/2022;9:00:00;AUTOV. M-30, +01100I PTO KM. 11,300 INTERIOR;+01100I;2;ARGANZUELA;Colisión fronto-lateral;Despejado;Turismo;Conductor;De 45 a 49 años;Mujer;1;Atención en urgencias sin posterior ingreso;442.366.272;4.471.296.603;N;NULL
2022S000019;01/01/2022;15:10:00;CALL. SINESIO DELGADO / CALL. RIBADAVIA;1;6;TETUÁN;Alcance;Despejado;Turismo;Conductor;De 35 a 39 años;Mujer;14;Sin asistencia sanitaria;440.377.332;4.480.447.109;N;NULL
2022S000019;01/01/2022;15:10:00;CALL. SINESIO DELGADO / CALL. RIBADAVIA;1;6;TETUÁN;Alcance;Despejado;Turismo;Conductor;De 70 a 74 años;Hombre;1;Atención en urgencias sin posterior ingreso;440.377.332;4.480.447.109;N;NULL
2022S000019;01/01/2022;15:10:00;CALL. SINESIO DELGADO / CALL. RIBADAVIA;1;6;TETUÁN;Alcance;Despejado;Turismo;Pasajero;De 40 a 44 años;Hombre;14;Sin asistencia sanitaria;440.377.332;4.480.447.109;N;NULL
2022S000019;01/01/2022;15:10:00;CALL. SINESIO DELGADO / CALL. RIBADAVIA;1;6;TETUÁN;Alcance;Despejado;Turismo;Pasajero;De 65 a 69 años;Mujer;1;Atención en urgencias sin posterior ingreso;440.377.332;4.480.447.109;N;NULL
2022S000020;01/01/2022;16:15:00;CALL. LOS URQUIZA, 3;3;15;CIUDAD LINEAL;Choque contra obstáculo fijo;Despejado;Camión rígido;Conductor;De 50 a 54 años;Hombre;NULL;NULL;445.200.820;4.476.098.021;N;NULL
2022S000020;01/01/2022;16:15:00;CALL. LOS URQUIZA, 3;3;15;CIUDAD LINEAL;Choque contra obstáculo fijo;Despejado;Turismo;Conductor;De 70 a 74 años;Hombre;NULL;NULL;445.200.820;4.476.098.021;N;NULL
2022S000021;01/01/2022;15:55:00;CALL. SANTA RAFAELA MARIA DEL SAGRADO CORAZON, 9;9;13;PUENTE DE VALLECAS;Alcance;Despejado;Motocicleta hasta 125cc;Conductor;De 25 a 29 años;Hombre;NULL;NULL;442.909.231;4.470.042.450;N;NULL
2022S000021;01/01/2022;15:55:00;CALL. SANTA RAFAELA MARIA DEL SAGRADO CORAZON, 9;9;13;PUENTE DE VALLECAS;Alcance;Despejado;Motocicleta hasta 125cc;Conductor;De 35 a 39 años;Hombre;NULL;NULL;442.909.231;4.470.042.450;N;NULL
2022S000022;01/01/2022;15:25:00;CALL. ARTURO SORIA / CALL. AÑASTRO;251;15;CIUDAD LINEAL;Colisión fronto-lateral;Despejado;Turismo;Conductor;De 30 a 34 años;Hombre;14;Sin asistencia sanitaria;443.520.641;4.479.823.287;N;NULL
2022S000022;01/01/2022;15:25:00;CALL. ARTURO SORIA / CALL. AÑASTRO;251;15;CIUDAD LINEAL;Colisión fronto-lateral;Despejado;Turismo;Conductor;De 60 a 64 años;Hombre;14;Sin asistencia sanitaria;443.520.641;4.479.823.287;N;NULL
2022S000022;01/01/2022;15:25:00;CALL. ARTURO SORIA / CALL. AÑASTRO;251;15;CIUDAD LINEAL;Colisión fronto-lateral;Despejado;Turismo;Pasajero;De 55 a 59 años;Mujer;7;Asistencia sanitaria sólo en el lugar del accidente;443.520.641;4.479.823.287;N;NULL
2022S000023;01/01/2022;16:30:00;AVDA. OROVILLA / AVDA. FELICIDAD;40;17;VILLAVERDE;Choque contra obstáculo fijo;Despejado;Turismo;Conductor;De 25 a 29 años;Mujer;14;Sin asistencia sanitaria;441.469.404;4.467.854.822;N;NULL
2022S000024;01/01/2022;19:15:00;CALL. AMPARO USERA, 19;19;12;USERA;Choque contra obstáculo fijo;NULL;Turismo;Conductor;De 40 a 44 años;Hombre;NULL;NULL;440.398.545;4.471.040.352;S;NULL
2022S000024;01/01/2022;19:15:00;CALL. AMPARO USERA, 19;19;12;USERA;Choque contra obstáculo fijo;NULL;Turismo;Conductor;Desconocido;Desconocido;NULL;NULL;440.398.545;4.471.040.352;N;NULL
2022S000026;01/01/2022;18:37:00;AVDA. PALOMERAS / AVDA. PABLO NERUDA;170;13;PUENTE DE VALLECAS;Atropello a persona;Despejado;Turismo;Conductor;De 55 a 59 años;Mujer;14;Sin asistencia sanitaria;445.064.062;4.470.686.390;N;NULL
2022S000026;01/01/2022;18:37:00;AVDA. PALOMERAS / AVDA. PABLO NERUDA;170;13;PUENTE DE VALLECAS;Atropello a persona;Despejado;Turismo;Pasajero;De 25 a 29 años;Mujer;14;Sin asistencia sanitaria;445.064.062;4.470.686.390;N;NULL
2022S000026;01/01/2022;18:37:00;AVDA. PALOMERAS / AVDA. PABLO NERUDA;170;13;PUENTE DE VALLECAS;Atropello a persona;Despejado;Turismo;Peatón;De 15 a 17 años;Mujer;1;Atención en urgencias sin posterior ingreso;445.064.062;4.470.686.390;N;NULL
2022S000027;01/01/2022;20:19:00;CALL. LOS YEBENES, 141;141;10;LATINA;Caída;Despejado;Motocicleta hasta 125cc;Conductor;De 40 a 44 años;Hombre;7;Asistencia sanitaria sólo en el lugar del accidente;436.225.497;4.471.493.969;S;NULL
2022S000028;02/01/2022;16:35:00;CALL. MARCELO USERA, 120;120;12;USERA;Choque contra obstáculo fijo;NULL;Turismo;Conductor;De 50 a 54 años;Hombre;NULL;NULL;439.779.121;4.470.779.982;S;NULL
2022S000028;02/01/2022;16:35:00;CALL. MARCELO USERA, 120;120;12;USERA;Choque contra obstáculo fijo;NULL;Turismo;Conductor;Desconocido;Desconocido;NULL;NULL;439.779.121;4.470.779.982;N;NULL
2022S000029;01/01/2022;6:25:00;AVDA. FILIPINAS, 50;50;7;CHAMBERÍ;Alcance;Despejado;Todo terreno;Conductor;Desconocido;Desconocido;NULL;NULL;440.125.250;4.477.019.370;N;NULL
2022S000029;01/01/2022;6:25:00;AVDA. FILIPINAS, 50;50;7;CHAMBERÍ;Alcance;Despejado;Turismo;Conductor;De 35 a 39 años;Hombre;14;Sin asistencia sanitaria;440.125.250;4.477.019.370;N;NULL
2022S000029;01/01/2022;6:25:00;AVDA. FILIPINAS, 50;50;7;CHAMBERÍ;Alcance;Despejado;Turismo;Pasajero;De 30 a 34 años;Mujer;7;Asistencia sanitaria sólo en el lugar del accidente;440.125.250;4.477.019.370;N;NULL
2022S000029;01/01/2022;6:25:00;AVDA. FILIPINAS, 50;50;7;CHAMBERÍ;Alcance;Despejado;Turismo;Pasajero;De 30 a 34 años;Mujer;14;Sin asistencia sanitaria;440.125.250;4.477.019.370;N;NULL
2022S000030;01/01/2022;21:30:00;CALL. ALCALA, 614;614;20;SAN BLAS-CANILLEJAS;Colisión lateral;Despejado;Todo terreno;Conductor;De 35 a 39 años;Hombre;NULL;NULL;448.229.975;4.477.634.669;N;NULL
2022S000030;01/01/2022;21:30:00;CALL. ALCALA, 614;614;20;SAN BLAS-CANILLEJAS;Colisión lateral;Despejado;Todo terreno;Pasajero;De 21 a 24 años;Mujer;NULL;NULL;448.229.975;4.477.634.669;N;NULL
2022S000030;01/01/2022;21:30:00;CALL. ALCALA, 614;614;20;SAN BLAS-CANILLEJAS;Colisión lateral;Despejado;Turismo;Conductor;De 45 a 49 años;Hombre;NULL;NULL;448.229.975;4.477.634.669;S;NULL
2022S000031;02/01/2022;0:55:00;CALL. CANAPIARE, 8;8;16;HORTALEZA;Choque contra obstáculo fijo;Despejado;Motocicleta > 125cc;Conductor;Desconocido;Desconocido;NULL;NULL;446.361.202;4.480.136.889;N;NULL
2022S000031;02/01/2022;0:55:00;CALL. CANAPIARE, 8;8;16;HORTALEZA;Choque contra obstáculo fijo;Despejado;Turismo;Conductor;Desconocido;Desconocido;NULL;NULL;446.361.202;4.480.136.889;N;NULL
2022S000031;02/01/2022;0:55:00;CALL. CANAPIARE, 8;8;16;HORTALEZA;Choque contra obstáculo fijo;Despejado;Turismo;Conductor;Desconocido;Desconocido;NULL;NULL;446.361.202;4.480.136.889;N;NULL
2022S000032;02/01/2022;1:00:00;CALL. VADO / AUTOV. M-30;1;12;USERA;Choque contra obstáculo fijo;Despejado;Furgoneta;Conductor;De 35 a 39 años;Hombre;NULL;NULL;440.991.275;4.470.831.560;S;NULL
2022S000034;02/01/2022;0:05:00;CALL. MARIA TERESA SAENZ DE HEREDIA, 6;6;15;CIUDAD LINEAL;Caída;Despejado;Bicicleta EPAC (pedaleo asistido);Conductor;De 25 a 29 años;Hombre;7;Asistencia sanitaria sólo en el lugar del accidente;444.462.918;4.474.808.752;S;NULL
2022S000035;02/01/2022;6:50:00;PLAZA. DOCTOR MARAÑON / CALL. JOSE ABASCAL;0;4;SALAMANCA;Alcance;Despejado;Turismo;Conductor;De 25 a 29 años;Hombre;NULL;NULL;441.413.892;4.476.593.486;N;NULL
2022S000035;02/01/2022;6:50:00;PLAZA. DOCTOR MARAÑON / CALL. JOSE ABASCAL;0;4;SALAMANCA;Alcance;Despejado;Turismo;Conductor;De 40 a 44 años;Hombre;NULL;NULL;441.413.892;4.476.593.486;N;NULL
2022S000037;01/01/2022;12:10:00;CALL. HORNO DE LABRADORES, 22;22;19;VICÁLVARO;Choque contra obstáculo fijo;NULL;Motocicleta hasta 125cc;Conductor;Desconocido;Desconocido;NULL;NULL;448.699.566;4.472.508.459;N;NULL
2022S000037;01/01/2022;12:10:00;CALL. HORNO DE LABRADORES, 22;22;19;VICÁLVARO;Choque contra obstáculo fijo;NULL;Turismo;Conductor;De 60 a 64 años;Hombre;NULL;NULL;448.699.566;4.472.508.459;N;NULL
2022S000044;01/01/2022;12:10:00;CALL. ALONSO CANO, 33;33;7;CHAMBERÍ;Choque contra obstáculo fijo;NULL;Turismo;Conductor;Desconocido;Desconocido;NULL;NULL;440.822.616;4.476.664.394;N;NULL
2022S000044;01/01/2022;12:10:00;CALL. ALONSO CANO, 33;33;7;CHAMBERÍ;Choque contra obstáculo fijo;NULL;VMU eléctrico;Conductor;De 18 a 20 años;Hombre;NULL;NULL;440.822.616;4.476.664.394;N;NULL
2022S000045;01/01/2022;11:55:00;CMNO. GANAPANES / CALL. VALLE DE MENA;25;8;FUENCARRAL-EL PARDO;Alcance;Despejado;Turismo;Conductor;De 40 a 44 años;Hombre;NULL;NULL;439.441.654;4.480.146.737;N;NULL
2022S000045;01/01/2022;11:55:00;CMNO. GANAPANES / CALL. VALLE DE MENA;25;8;FUENCARRAL-EL PARDO;Alcance;Despejado;Turismo;Conductor;De 55 a 59 años;Hombre;NULL;NULL;439.441.654;4.480.146.737;N;NULL
2022S000046;02/01/2022;10:15:00;CALL. SICELIDAS, 6;6;16;HORTALEZA;Choque contra obstáculo fijo;NULL;Turismo;Conductor;De 25 a 29 años;Hombre;NULL;NULL;446.028.570;4.479.393.754;S;NULL
2022S000046;02/01/2022;10:15:00;CALL. SICELIDAS, 6;6;16;HORTALEZA;Choque contra obstáculo fijo;NULL;Turismo;Pasajero;De 25 a 29 años;Hombre;NULL;NULL;446.028.570;4.479.393.754;N;NULL
2022S000048;02/01/2022;12:10:00;AVDA. MEDITERRANEO / A3  KM 7 vía de servicio;2;3;RETIRO;Choque contra obstáculo fijo;Despejado;Turismo;Conductor;De 30 a 34 años;Hombre;7;Asistencia sanitaria sólo en el lugar del accidente;446.664.781;4.471.438.923;S;NULL
2022S000048;02/01/2022;12:10:00;AVDA. MEDITERRANEO / A3  KM 7 vía de servicio;2;3;RETIRO;Choque contra obstáculo fijo;Despejado;Turismo;Pasajero;De 25 a 29 años;Mujer;2;Ingreso inferior o igual a 24 horas;446.664.781;4.471.438.923;N;NULL
2022S000048;02/01/2022;12:10:00;AVDA. MEDITERRANEO / A3  KM 7 vía de servicio;2;3;RETIRO;Choque contra obstáculo fijo;Despejado;Turismo;Pasajero;De 30 a 34 años;Hombre;2;Ingreso inferior o igual a 24 horas;446.664.781;4.471.438.923;N;NULL
2022S000049;01/01/2022;7:10:00;AUTOV. M-30, +00900E, 09XC;+00900E;14;MORATALAZ;Alcance;Despejado;Turismo;Conductor;De 21 a 24 años;Mujer;NULL;NULL;443.429.899;4.472.683.605;N;NULL
2022S000049;01/01/2022;7:10:00;AUTOV. M-30, +00900E, 09XC;+00900E;14;MORATALAZ;Alcance;Despejado;Turismo;Conductor;Desconocido;Desconocido;NULL;NULL;443.429.899;4.472.683.605;N;NULL
2022S000049;01/01/2022;7:10:00;AUTOV. M-30, +00900E, 09XC;+00900E;14;MORATALAZ;Alcance;Despejado;Turismo;Pasajero;De 21 a 24 años;Hombre;NULL;NULL;443.429.899;4.472.683.605;N;NULL
2022S000049;01/01/2022;7:10:00;AUTOV. M-30, +00900E, 09XC;+00900E;14;MORATALAZ;Alcance;Despejado;Turismo;Pasajero;De 25 a 29 años;Hombre;NULL;NULL;443.429.899;4.472.683.605;N;NULL
2022S000049;01/01/2022;7:10:00;AUTOV. M-30, +00900E, 09XC;+00900E;14;MORATALAZ;Alcance;Despejado;Turismo;Pasajero;De 25 a 29 años;Mujer;NULL;NULL;443.429.899;4.472.683.605;N;NULL
2022S000049;01/01/2022;7:10:00;AUTOV. M-30, +00900E, 09XC;+00900E;14;MORATALAZ;Alcance;Despejado;Turismo;Pasajero;De 30 a 34 años;Mujer;NULL;NULL;443.429.899;4.472.683.605;N;NULL
2022S000050;02/01/2022;13:40:00;CALL. SANTA CLARA, 8;8;1;CENTRO;Choque contra obstáculo fijo;Despejado;Turismo;Conductor;De 35 a 39 años;Hombre;NULL;NULL;439.694.979;4.474.325.456;N;NULL
2022S000050;02/01/2022;13:40:00;CALL. SANTA CLARA, 8;8;1;CENTRO;Choque contra obstáculo fijo;Despejado;Turismo;Conductor;De 60 a 64 años;Hombre;NULL;NULL;439.694.979;4.474.325.456;N;NULL
2022S000051;02/01/2022;12:55:00;AVDA. NICETO ALCALA ZAMORA / AUTOV. M-11;4;16;HORTALEZA;Atropello a persona;Despejado;Turismo;Conductor;De 35 a 39 años;Mujer;14;Sin asistencia sanitaria;444.941.568;4.481.451.291;N;NULL
2022S000051;02/01/2022;12:55:00;AVDA. NICETO ALCALA ZAMORA / AUTOV. M-11;4;16;HORTALEZA;Atropello a persona;Despejado;Turismo;Peatón;De 6 a 9 años;Hombre;7;Asistencia sanitaria sólo en el lugar del accidente;444.941.568;4.481.451.291;N;NULL
2022S000052;02/01/2022;14:50:00;AVDA. ANDALUCIA / CALL. UNANIMIDAD;60;17;VILLAVERDE;Choque contra obstáculo fijo;Despejado;Turismo;Conductor;De 70 a 74 años;Hombre;4;Fallecido 24 horas;441.122.206;4.468.124.103;N;NULL
2022S000052;02/01/2022;14:50:00;AVDA. ANDALUCIA / CALL. UNANIMIDAD;60;17;VILLAVERDE;Choque contra obstáculo fijo;Despejado;Turismo;Pasajero;De 65 a 69 años;Mujer;14;Sin asistencia sanitaria;441.122.206;4.468.124.103;N;NULL
2022S000053;01/01/2022;21:30:00;AVDA. ALBUFERA, 173;173;13;PUENTE DE VALLECAS;Alcance;NULL;Turismo;Conductor;De 25 a 29 años;Hombre;NULL;NULL;444.406.959;4.471.437.376;N;NULL
2022S000053;01/01/2022;21:30:00;AVDA. ALBUFERA, 173;173;13;PUENTE DE VALLECAS;Alcance;NULL;Turismo;Conductor;De 30 a 34 años;Hombre;NULL;NULL;444.406.959;4.471.437.376;N;NULL
2022S000055;02/01/2022;16:25:00;CALL. BOLA / CALL. TORIJA;1;1;CENTRO;Colisión fronto-lateral;NULL;Maquinaria de obras;Conductor;De 50 a 54 años;Hombre;NULL;NULL;439.821.249;4.474.693.460;N;NULL
2022S000055;02/01/2022;16:25:00;CALL. BOLA / CALL. TORIJA;1;1;CENTRO;Colisión fronto-lateral;NULL;Turismo;Conductor;De 40 a 44 años;Mujer;NULL;NULL;439.821.249;4.474.693.460;N;NULL
2022S000056;02/01/2022;13:25:00;CUSTA. SAN VICENTE / SUBTERRÁNEO;1;1;CENTRO;Colisión lateral;NULL;Motocicleta hasta 125cc;Conductor;Desconocido;Desconocido;NULL;NULL;439.291.933;4.474.652.638;N;NULL
2022S000056;02/01/2022;13:25:00;CUSTA. SAN VICENTE / SUBTERRÁNEO;1;1;CENTRO;Colisión lateral;NULL;Turismo;Conductor;De 45 a 49 años;Hombre;NULL;NULL;439.291.933;4.474.652.638;N;NULL
2022S000057;02/01/2022;17:15:00;CALL. ALTO DEL RETIRO, 1;1;18;VILLA DE VALLECAS;Colisión fronto-lateral;Despejado;Turismo;Conductor;De 35 a 39 años;Mujer;NULL;NULL;449.048.889;4.468.932.280;N;NULL
2022S000057;02/01/2022;17:15:00;CALL. ALTO DEL RETIRO, 1;1;18;VILLA DE VALLECAS;Colisión fronto-lateral;Despejado;Turismo;Conductor;De 40 a 44 años;Mujer;NULL;NULL;449.048.889;4.468.932.280;N;NULL
2022S000059;02/01/2022;15:08:00;AVDA. MEDITERRANEO, 3;3;3;RETIRO;Caída;NULL;Ciclomotor;Conductor;De 18 a 20 años;Hombre;NULL;NULL;442.472.001;4.473.211.877;N;NULL
2022S000060;02/01/2022;16:30:00;AUTOV. M-30, +02900I;+02900I;8;FUENCARRAL-EL PARDO;Colisión lateral;Despejado;Furgoneta;Conductor;De 21 a 24 años;Hombre;14;Sin asistencia sanitaria;440.206.436;4.481.478.003;N;NULL
2022S000060;02/01/2022;16:30:00;AUTOV. M-30, +02900I;+02900I;8;FUENCARRAL-EL PARDO;Colisión lateral;Despejado;Turismo;Conductor;De 30 a 34 años;Hombre;7;Asistencia sanitaria sólo en el lugar del accidente;440.206.436;4.481.478.003;N;NULL
